,k,b,var,leng,y,count,yx
0,0.024234203468058185,0.4806763543749123,0.004863314798229162,10,"[0.4785350778334487, 0.7034535624186927]",10,"[0.47853508 0.50783669 0.53414391 0.5562937  0.57556846 0.59538228
 0.61929817 0.64820475 0.67858609 0.70345356]"
1,-0.024448215319910847,0.9741877127317066,0.0024531235833041365,7,"[0.7156367480167427, 0.5810961447341534]",17,"[0.71563675 0.71135482 0.6918733  0.66255387 0.63036832 0.60164319
 0.58109614]"
2,0.025270919393462928,0.13056150776006456,0.009113857513496247,13,"[0.571911052334238, 0.8422543197273323]",30,"[0.57191105 0.57588507 0.59308445 0.62135324 0.65644506 0.69314122
 0.72692238 0.75529311 0.77809595 0.79681442 0.81334756 0.82875668
 0.84225432]"
3,-0.06531820769852323,2.8876933091036867,0.0367154618965677,10,"[0.8505941956858579, 0.3273388599941274]",40,"[0.8505942  0.84815519 0.82813806 0.78500166 0.7174638  0.63057434
 0.53534968 0.44566688 0.37386876 0.32733886]"
4,0.023251934495300355,-0.6359044105462175,0.0022192595084026055,7,"[0.3074368263418465, 0.4341391801788903]",47,"[0.30743683 0.31057483 0.33026312 0.35903449 0.38974605 0.41630691
 0.43413918]"
5,-0.018206636277577633,1.304589904862892,0.000993886627827938,6,"[0.44057696749078223, 0.35470190142631974]",53,[0.44057697 0.43512341 0.41942193 0.39704877 0.37329548 0.3547019 ]
6,0.03185728522717363,-1.3558590896771423,0.003053192717740686,6,"[0.3478264462916906, 0.49911175093746085]",59,[0.34782645 0.35721912 0.38338805 0.42185216 0.46392391 0.49911175]
7,-0.020290124743844343,1.7264899588334466,0.0008882040567141601,5,"[0.5184113219410633, 0.4413088827938054]",64,[0.51841132 0.51741167 0.49811456 0.4687153  0.44130888]
8,0.04453672984761156,-2.446122610039242,0.008132940322551832,7,"[0.42824324273091696, 0.6718021809370174]",71,"[0.42824324 0.43820515 0.47312067 0.52694461 0.58722176 0.63933042
 0.67180218]"
9,-0.019640137035969535,2.078058853510065,0.000491376532457781,4,"[0.6802850674385532, 0.6224699847382179]",75,[0.68028507 0.66839837 0.64544225 0.62246998]
10,0.019691212057879267,-0.864261554781006,0.008607652042874715,16,"[0.6086738077316715, 0.888015764958968]",91,"[0.60867381 0.60931887 0.6253308  0.65394737 0.68987194 0.72674947
 0.75892029 0.78307188 0.79905781 0.80939127 0.81771799 0.82720388
 0.83961071 0.8550938  0.87223939 0.88801576]"
11,-0.04274415795714476,4.82987813833132,0.012653509940157015,9,"[0.8978361350640478, 0.5934452362071354]",100,"[0.89783614 0.8962303  0.87840299 0.84234131 0.79050724 0.7300154
 0.67087185 0.62299774 0.59344524]"
12,0.021433288539544664,-1.5586006534238155,0.00317478826831681,9,"[0.5848713893932997, 0.737064141387821]",109,"[0.58487139 0.59545844 0.61990266 0.65104447 0.68178755 0.70686497
 0.72388929 0.73326928 0.73706414]"
13,-0.00671422973809472,1.472872495039922,0.00013764723099408027,6,"[0.7374044718104317, 0.7048551571810318]",115,[0.73740447 0.73534542 0.73076189 0.72329916 0.71374917 0.70485516]
14,0.024951861766352407,-2.1863969923549775,0.006323549853976065,11,"[0.7007859734015235, 0.9210595769577481]",126,"[0.70078597 0.70542017 0.72051974 0.74497846 0.7755044  0.80813859
 0.83963027 0.86795522 0.89189555 0.91020266 0.92105958]"
15,-0.024640316700649444,4.036491856450962,0.0024651661207617764,7,"[0.9222782466080798, 0.7858930257938828]",133,"[0.92227825 0.91221441 0.89102145 0.86162494 0.82973283 0.80247212
 0.78589303]"
16,0.008857786173866906,-0.39636815595723646,5.314079561246954e-05,3,"[0.7823631134388482, 0.8000786857865819]",136,[0.78236311 0.78928377 0.80007869]
17,-0.014777111634223749,2.825079516064099,0.0006637619429057409,6,"[0.8071137509335069, 0.7383096443624009]",142,[0.80711375 0.80503184 0.79281916 0.77376624 0.75365669 0.73830964]
18,0.026137266531579637,-3.0043519266076455,0.0047141103879157036,9,"[0.731679271134867, 0.9253548887052095]",151,"[0.73167927 0.73519225 0.74828436 0.76952601 0.79748068 0.8306532
 0.86653884 0.90049138 0.92535489]"
19,-0.07773668966192848,12.72123755951818,0.04108670878685691,9,"[0.9324137643954332, 0.3775640105569977]",160,"[0.93241376 0.91358146 0.86425112 0.78587925 0.68710334 0.58235251
 0.48796053 0.41734998 0.37756401]"
20,0.0423257287563379,-6.430718429579189,0.018041522416159823,11,"[0.36848325071664934, 0.7706806946901713]",171,"[0.36848325 0.38441351 0.41685697 0.4574382  0.50030764 0.54336378
 0.58768296 0.63515881 0.68538531 0.73352385 0.77068069]"
21,-0.031897884985678915,6.253546593568516,0.0021089184763786488,5,"[0.7871715046752226, 0.6659530464396907]",176,[0.7871715  0.77747636 0.74452712 0.70093443 0.66595305]
22,0.06615187838275513,-10.9999311230702,0.005707974105603994,4,"[0.6588804479739578, 0.8558390198722688]",180,[0.65888045 0.69137331 0.76201638 0.85583902]
